hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3334480920,Hero(MP),177BB,Qd 9c,,,,Opp(BTN): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334480891,Hero(BTN),177BB,6h 7c,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334480848,Hero(SB),177BB,As 2d,,,,Opp(UTG): raises 2.4BB; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
RC3334480802,Hero(BTN),177BB,Qc 4d,,,,Opp(MP): raises 2.4BB; Opp(CO): raises 7.4BB; ,6.2BB,,0BB,,0BB,,0BB,0BB,6.2BB
RC3334480754,Hero(BB),178BB,9h Qc,,,,Opp(SB): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.0BB
RC3334480729,Hero(MP),178BB,9d 4d,,,,Opp(UTG): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334480689,Hero(UTG),178BB,7c 8h,Ah 5h 2s,7d,Qd,Opp(CO): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Opp(CO): bets 1.6BB; Opp(BB): calls 1.6BB; ,7.6BB,Opp(BB): bets 4.0BB; Opp(CO): calls 4.0BB; ,15.6BB,Opp(BB): checks; Opp(CO): bets 11.8BB; ,15.6BB,0BB,15.6BB
RC3334480439,Hero(BB),183BB,Ts Js,6d Jd Ad,5c,,Opp(UTG): raises 2.6BB; Hero: calls 1.6BB; ,5.6BB,Hero: checks; Opp(UTG): bets 2.0BB; Hero: calls 2.0BB; ,9.6BB,Hero: checks; Opp(UTG): bets 7.2BB; ,9.6BB,,0BB,-4.6BB,9.6BB
RC3334480333,Hero(SB),182BB,9h 9c,,,,Hero: raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,1.0BB,2.0BB
RC3334480310,Hero(CO),182BB,8s 9h,,,,Opp(BTN): raises 2.4BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334480289,Hero(CO),182BB,9d 3c,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334480266,Hero(MP),182BB,9d 2c,8d 3h Qh,7h,6s,Opp(UTG): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Opp(UTG): checks; ,4.4BB,Opp(BB): checks; Opp(UTG): checks; ,4.4BB,Opp(BB): checks; Opp(UTG): checks; 3723bfd4: shows [7s 4s] (Pair of Sevens); 5381eb4c: shows [Ad 7c] (Pair of Sevens); ,4.4BB,0BB,4.4BB
RC3334480235,Hero(BTN),182BB,3s 4d,,,,Opp(MP): raises 2.6BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334480210,Hero(UTG),182BB,Ts 3d,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334480183,Hero(SB),182BB,6h Th,,,,,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB
RC3334480155,Hero(UTG),182BB,Qs 3h,,,,Opp(CO): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334480121,Hero(BB),183BB,6d Kh,,,,Opp(UTG): raises 2.6BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3334480095,Hero(UTG),183BB,Kh 6d,,,,Opp(SB): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3334480068,Hero(BTN),183BB,2h 7h,,,,Opp(MP): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334480028,Hero(CO),183BB,9c Qd,,,,Opp(UTG): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334480004,Hero(MP),183BB,Ts 3h,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334479920,Hero(SB),182BB,7h 6h,Jc 2s 7d,,,Hero: calls 0.6BB; Opp(BB): checks; ,2.0BB,Hero: bets 1.0BB; ,2.0BB,,0BB,,0BB,1.0BB,2.0BB
RC3334479897,Hero(BB),183BB,5h 7d,8d 6s 5c,3d,Jd,Opp(CO): raises 2.6BB; Opp(BTN): raises 7.6BB; Opp(CO): calls 5.0BB; ,16.6BB,Opp(CO): checks; Opp(BTN): checks; ,16.6BB,Opp(CO): checks; Opp(BTN): checks; ,16.6BB,Opp(CO): checks; Opp(BTN): checks; d57e790f: shows [Qh Ad] (Ace-High); 74f9576e: shows [Ah Kh] (Ace-High); ,16.6BB,-1.0BB,16.6BB
RC3334479843,Hero(MP),183BB,Td 6h,8c 8d Ts,Ks,,Opp(CO): raises 2.6BB; Opp(BB): calls 1.6BB; ,5.6BB,Opp(BB): checks; Opp(CO): bets 2.8BB; Opp(BB): calls 2.8BB; ,11.2BB,Opp(BB): checks; Opp(CO): bets 5.6BB; ,11.2BB,,0BB,0BB,11.2BB
RC3334479740,Hero(BTN),183BB,5h Qh,Ac 3h 6c,,,Opp(SB): raises 2.6BB; Opp(BB): calls 1.6BB; ,5.6BB,Opp(SB): checks; Opp(BB): bets 2.6BB; ,5.6BB,,0BB,,0BB,0BB,5.2BB
RC3334479697,Hero(CO),183BB,Ks 8d,3c Jh 8c,,,Opp(UTG): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): bets 2.2BB; ,4.4BB,,0BB,,0BB,0BB,4.4BB
RC3334479613,Hero(BB),184BB,5d 7c,,,,Opp(UTG): raises 2.4BB; Opp(CO): raises 7.2BB; Opp(SB): raises 21.0BB; Opp(CO): calls 13.8BB; Opp(SB): bets 20.0BB; Opp(CO): calls 20.0BB; Opp(SB): bets 70.2BB; Opp(CO): calls 70.2BB; 6be17d4e: shows [Qc Ah] (Aces-High Straight); cb0795b5: shows [Ks Qs] (Pair of Kings and Pair of Jacks); ,226.2BB,,0BB,,0BB,,0BB,-1.0BB,225.8BB
RC3334479588,Hero(UTG),184BB,Ad 3d,Jd 3s Qd,,,Opp(BTN): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Opp(BTN): bets 1.0BB; ,4.4BB,,0BB,,0BB,0BB,4.4BB
RC3334479476,Hero(SB),183BB,9c As,,,,Hero: raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,1.0BB,2.0BB
RC3334479446,Hero(UTG),183BB,Th 3d,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334479421,Hero(MP),183BB,6s 2h,,,,Opp(SB): raises 2.6BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
