hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3350620622,Hero(CO),100BB,7d 5h,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350620607,Hero(MP),100BB,Jd 5s,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350620558,Hero(SB),100BB,Tc Ks,5s 4c Qh,5c,,Opp(CO): raises 3.0BB; Opp(BB): calls 2.0BB; ,6.4BB,Opp(BB): checks; Opp(CO): bets 4.8BB; Opp(BB): calls 4.8BB; ,16.0BB,Opp(BB): checks; Opp(CO): bets 15.0BB; ,16.0BB,,0BB,-0.4BB,16.0BB
RC3350620539,Hero(BB),101BB,5h Qh,4s 9c 7c,Js,2d,Opp(MP): raises 2.0BB; Opp(CO): calls 2.0BB; Opp(BTN): calls 2.0BB; ,7.4BB,Opp(MP): checks; Opp(CO): bets 3.0BB; Opp(BTN): calls 3.0BB; Opp(MP): calls 3.0BB; ,16.4BB,Opp(MP): checks; Opp(CO): bets 6.6BB; Opp(BTN): calls 6.6BB; Opp(MP): calls 6.6BB; ,36.2BB,Opp(MP): checks; Opp(CO): bets 14.6BB; Opp(MP): calls 14.6BB; 4c6e72d1: shows [Jh As] (Pair of Jacks); f142db8a: shows [Kc Ks] (Pair of Kings); ,65.4BB,-1.0BB,65.4BB
RC3350620440,Hero(BTN),100BB,6h Kh,,,,Hero: raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,1.2BB,2.4BB
RC3350620411,Hero(CO),100BB,6s 7d,,,,Opp(SB): raises 2.8BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3350620392,Hero(MP),100BB,4s Ad,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350620371,Hero(SB),100BB,3s 7s,,,,,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB
RC3350620272,Hero(BB),100BB,As 9c,,,,Opp(BTN): raises 2.6BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3350620253,Hero(BTN),100BB,9h Kc,4h 9d Jc,Qc,Qh,Opp(MP): raises 2.0BB; Opp(CO): raises 7.4BB; Opp(MP): calls 5.4BB; ,16.2BB,Opp(MP): checks; Opp(CO): checks; ,16.2BB,Opp(MP): bets 2.0BB; Opp(CO): calls 2.0BB; ,20.2BB,Opp(MP): bets 2.0BB; Opp(CO): raises 12.0BB; Opp(MP): calls 10.0BB; 2a312c6e: shows [Ks Ad] (Pair of Queens); 35e1dfc4: shows [Ah Qs] (Three Queens); ,44.2BB,0BB,44.2BB
RC3350620231,Hero(UTG),100BB,7s Qd,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350620215,Hero(CO),100BB,5s 4h,6c 3h 7c,9s,Ts,Opp(UTG): calls 1.0BB; Opp(BTN): raises 4.4BB; Opp(UTG): calls 3.4BB; ,10.2BB,Opp(UTG): checks; Opp(BTN): bets 10.2BB; Opp(UTG): calls 10.2BB; ,30.6BB,Opp(UTG): checks; Opp(BTN): bets 23.0BB; Opp(UTG): raises 30.6BB; Opp(BTN): calls 7.6BB; a77c10c9: shows [7s Ks] (Pair of Sevens); f5cfa738: shows [Kc Kd] (Pair of Kings); ,91.8BB,,0BB,0BB,91.8BB
RC3350620196,Hero(CO),100BB,Js 2d,7s 3c Kd,,,Opp(MP): raises 2.0BB; Opp(SB): calls 1.6BB; ,5.0BB,Opp(SB): checks; Opp(MP): bets 1.8BB; ,5.0BB,,0BB,,0BB,0BB,5.0BB
RC3350620165,Hero(CO),100BB,6s 2s,3c Qs 5d,8h,8s,Opp(MP): raises 2.0BB; Opp(SB): calls 1.6BB; ,5.0BB,Opp(SB): checks; Opp(MP): bets 1.8BB; Opp(SB): calls 1.8BB; ,8.6BB,Opp(SB): checks; Opp(MP): checks; ,8.6BB,Opp(SB): bets 2.4BB; ,8.6BB,0BB,8.6BB
RC3350620117,Hero(BTN),100BB,7d Tc,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350620084,Hero(SB),100BB,Qc Ts,8s 6s 5c,6d,7s,Opp(UTG): raises 2.0BB; Opp(CO): calls 2.0BB; Opp(BTN): calls 2.0BB; Opp(BB): calls 1.0BB; ,8.4BB,Opp(BB): checks; Opp(UTG): bets 2.8BB; Opp(CO): calls 2.8BB; ,14.0BB,Opp(UTG): bets 7.0BB; Opp(CO): raises 28.0BB; Opp(UTG): calls 21.0BB; ,70.0BB,Opp(UTG): checks; Opp(CO): bets 28.4BB; ,70.0BB,-0.4BB,70.0BB
RC3350620062,Hero(BB),101BB,3d Ks,Qd 8c 3c,Kd,9c,Opp(BTN): calls 1.0BB; Opp(SB): raises 6.0BB; Opp(BTN): calls 5.0BB; ,13.4BB,Opp(SB): bets 4.4BB; Opp(BTN): calls 4.4BB; ,22.2BB,Opp(SB): checks; Opp(BTN): checks; ,22.2BB,Opp(SB): checks; Opp(BTN): bets 11.0BB; ,22.2BB,-1.0BB,21.8BB
RC3350619970,Hero(CO),100BB,Ah 9h,,,,Hero: raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,1.2BB,2.4BB
