hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3334440711,Hero(BB),106BB,7c Tc,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; ,0.8BB,,0BB,,0BB,,0BB,0.4BB,0.8BB
RC3334440689,Hero(CO),106BB,Jc 6s,,,,Opp(UTG): folds; Opp(MP): folds; Hero: folds; Opp(BTN): folds; Opp(SB): folds; ,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334440663,Hero(UTG),106BB,6h Ts,Td 2h Jd,8h,4c,Hero: folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.2BB; Opp(SB): folds; Opp(BB): calls 1.2BB; ,4.8BB,Opp(BB): bets 2.6BB; Opp(BTN): calls 2.6BB; ,10.0BB,Opp(BB): checks; Opp(BTN): checks; ,10.0BB,Opp(BB): bets 10.0BB; Opp(BTN): folds; ,10.0BB,0BB,10.0BB
RC3334440641,Hero(SB),106BB,6d Qh,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.4BB; Hero: folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
RC3334440530,Hero(MP),105BB,Ts Qd,,,,Opp(UTG): folds; Hero: raises 2.0BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,1.2BB,2.4BB
RC3334440508,Hero(MP),105BB,Qs 5h,,,,Opp(UTG): raises 3.0BB; Hero: folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334440488,Hero(CO),105BB,4s 5c,,,,Opp(UTG): folds; Opp(MP): folds; Hero: folds; Opp(BTN): raises 2.6BB; Opp(SB): folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334440467,Hero(BTN),105BB,Kh 2h,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.0BB; Hero: folds; Opp(SB): folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334440160,Hero(SB),100BB,Ad Ts,Qd 6d Ah,4h,5s,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Hero: raises 3.0BB; Opp(BB): calls 2.0BB; ,6.4BB,Hero: bets 2.0BB; Opp(BB): calls 2.0BB; ,10.4BB,Hero: checks; Opp(BB): checks; ,10.4BB,Hero: checks; Opp(BB): checks; Hero: shows [Ad Ts] (Pair of Aces); 1d0217bc: shows [7d Td] (Ace-High); ,10.4BB,4.8BB,10.0BB
RC3334440134,Hero(MP),100BB,7c As,,,,Opp(UTG): folds; Hero: folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; ,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334439931,Hero(BB),100BB,Js 9s,8c 6h 6d,3c,,Opp(UTG): folds; Opp(MP): raises 2.0BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero: calls 1.0BB; ,4.4BB,Hero: checks; Opp(MP): checks; ,4.4BB,Hero: checks; Opp(MP): bets 2.2BB; Hero: folds; ,4.4BB,,0BB,-2.0BB,4.4BB
RC3334439826,Hero(MP),100BB,Jh Ad,,,,Opp(UTG): raises 2.0BB; Hero: calls 2.0BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): raises 14.0BB; Opp(BB): folds; Opp(UTG): folds; Hero: folds; ,7.4BB,,0BB,,0BB,,0BB,-2.0BB,7.0BB
RC3334439788,Hero(BB),100BB,Th 7s,Kc Ac 4d,4c,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.6BB; Opp(BTN): calls 2.6BB; Opp(SB): folds; Hero: folds; ,6.6BB,Opp(CO): bets 2.0BB; Opp(BTN): calls 2.0BB; ,10.6BB,Opp(CO): checks; Opp(BTN): bets 6.4BB; Opp(CO): folds; ,10.6BB,,0BB,-1.0BB,10.6BB
RC3334439756,Hero(SB),100BB,4s Ac,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Hero: folds; ,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB
RC3334439735,Hero(BTN),100BB,5c 6h,5h 3c 7c,5s,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Hero: folds; Opp(SB): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(SB): bets 2.0BB; Opp(BB): calls 2.0BB; ,8.4BB,Opp(SB): bets 4.0BB; Opp(BB): folds; ,8.4BB,,0BB,0BB,8.0BB
RC3334439713,Hero(UTG),100BB,5c Ks,,,,Hero: folds; Opp(MP): raises 2.0BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334439690,Hero(CO),100BB,8h 5d,,,,Opp(UTG): folds; Opp(MP): folds; Hero: folds; Opp(BTN): folds; Opp(SB): folds; ,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334439665,Hero(UTG),100BB,8h 2s,Js Kh 6c,7s,Qc,Hero: folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.8BB; Opp(SB): calls 2.4BB; Opp(BB): folds; ,6.6BB,Opp(SB): checks; Opp(BTN): checks; ,6.6BB,Opp(SB): bets 1.0BB; Opp(BTN): calls 1.0BB; ,8.6BB,Opp(SB): checks; Opp(BTN): bets 2.0BB; Opp(SB): folds; ,8.6BB,0BB,8.6BB
RC3334439642,Hero(CO),100BB,3d Qh,,,,Opp(UTG): folds; Opp(MP): folds; Hero: folds; Opp(BTN): folds; Opp(SB): folds; ,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
